Date,Trust Rating,Person,Month of presidency,Order,Type
May-74,,1974-1981 | V. Giscard d'Estaing,0,1,Presidents
Jun-74,,1974-1981 | V. Giscard d'Estaing,1,1,Presidents
Jul-74,,1974-1981 | V. Giscard d'Estaing,2,1,Presidents
Aug-74,,1974-1981 | V. Giscard d'Estaing,3,1,Presidents
Sep-74,,1974-1981 | V. Giscard d'Estaing,4,1,Presidents
Oct-74,,1974-1981 | V. Giscard d'Estaing,5,1,Presidents
Nov-74,,1974-1981 | V. Giscard d'Estaing,6,1,Presidents
Dec-74,,1974-1981 | V. Giscard d'Estaing,7,1,Presidents
Jan-75,,1974-1981 | V. Giscard d'Estaing,8,1,Presidents
Feb-75,,1974-1981 | V. Giscard d'Estaing,9,1,Presidents
Mar-75,,1974-1981 | V. Giscard d'Estaing,10,1,Presidents
Apr-75,,1974-1981 | V. Giscard d'Estaing,11,1,Presidents
May-75,,1974-1981 | V. Giscard d'Estaing,12,1,Presidents
Jun-75,,1974-1981 | V. Giscard d'Estaing,13,1,Presidents
Jul-75,,1974-1981 | V. Giscard d'Estaing,14,1,Presidents
Aug-75,,1974-1981 | V. Giscard d'Estaing,15,1,Presidents
Sep-75,,1974-1981 | V. Giscard d'Estaing,16,1,Presidents
Oct-75,,1974-1981 | V. Giscard d'Estaing,17,1,Presidents
Nov-75,,1974-1981 | V. Giscard d'Estaing,18,1,Presidents
Dec-75,,1974-1981 | V. Giscard d'Estaing,19,1,Presidents
Jan-76,,1974-1981 | V. Giscard d'Estaing,20,1,Presidents
Feb-76,,1974-1981 | V. Giscard d'Estaing,21,1,Presidents
Mar-76,,1974-1981 | V. Giscard d'Estaing,22,1,Presidents
Apr-76,,1974-1981 | V. Giscard d'Estaing,23,1,Presidents
May-76,,1974-1981 | V. Giscard d'Estaing,24,1,Presidents
Jun-76,,1974-1981 | V. Giscard d'Estaing,25,1,Presidents
Jul-76,,1974-1981 | V. Giscard d'Estaing,26,1,Presidents
Aug-76,,1974-1981 | V. Giscard d'Estaing,27,1,Presidents
Sep-76,,1974-1981 | V. Giscard d'Estaing,28,1,Presidents
Oct-76,,1974-1981 | V. Giscard d'Estaing,29,1,Presidents
Nov-76,,1974-1981 | V. Giscard d'Estaing,30,1,Presidents
Dec-76,,1974-1981 | V. Giscard d'Estaing,31,1,Presidents
Jan-77,,1974-1981 | V. Giscard d'Estaing,32,1,Presidents
Feb-77,,1974-1981 | V. Giscard d'Estaing,33,1,Presidents
Mar-77,,1974-1981 | V. Giscard d'Estaing,34,1,Presidents
Apr-77,,1974-1981 | V. Giscard d'Estaing,35,1,Presidents
May-77,,1974-1981 | V. Giscard d'Estaing,36,1,Presidents
Jun-77,,1974-1981 | V. Giscard d'Estaing,37,1,Presidents
Jul-77,,1974-1981 | V. Giscard d'Estaing,38,1,Presidents
Aug-77,,1974-1981 | V. Giscard d'Estaing,39,1,Presidents
Sep-77,,1974-1981 | V. Giscard d'Estaing,40,1,Presidents
Oct-77,,1974-1981 | V. Giscard d'Estaing,41,1,Presidents
Nov-77,,1974-1981 | V. Giscard d'Estaing,42,1,Presidents
Dec-77,,1974-1981 | V. Giscard d'Estaing,43,1,Presidents
Jan-78,,1974-1981 | V. Giscard d'Estaing,44,1,Presidents
Feb-78,,1974-1981 | V. Giscard d'Estaing,45,1,Presidents
Mar-78,,1974-1981 | V. Giscard d'Estaing,46,1,Presidents
Apr-78,,1974-1981 | V. Giscard d'Estaing,47,1,Presidents
May-78,,1974-1981 | V. Giscard d'Estaing,48,1,Presidents
Jun-78,,1974-1981 | V. Giscard d'Estaing,49,1,Presidents
Jul-78,,1974-1981 | V. Giscard d'Estaing,50,1,Presidents
Aug-78,,1974-1981 | V. Giscard d'Estaing,51,1,Presidents
Sep-78,,1974-1981 | V. Giscard d'Estaing,52,1,Presidents
Oct-78,60,1974-1981 | V. Giscard d'Estaing,53,1,Presidents
Nov-78,59,1974-1981 | V. Giscard d'Estaing,54,1,Presidents
Dec-78,62,1974-1981 | V. Giscard d'Estaing,55,1,Presidents
Jan-79,62,1974-1981 | V. Giscard d'Estaing,56,1,Presidents
Feb-79,57,1974-1981 | V. Giscard d'Estaing,57,1,Presidents
Mar-79,51,1974-1981 | V. Giscard d'Estaing,58,1,Presidents
Apr-79,54,1974-1981 | V. Giscard d'Estaing,59,1,Presidents
May-79,56,1974-1981 | V. Giscard d'Estaing,60,1,Presidents
Jun-79,56,1974-1981 | V. Giscard d'Estaing,61,1,Presidents
Jul-79,54,1974-1981 | V. Giscard d'Estaing,62,1,Presidents
Aug-79,51,1974-1981 | V. Giscard d'Estaing,63,1,Presidents
Sep-79,49,1974-1981 | V. Giscard d'Estaing,64,1,Presidents
Oct-79,51,1974-1981 | V. Giscard d'Estaing,65,1,Presidents
Nov-79,52,1974-1981 | V. Giscard d'Estaing,66,1,Presidents
Dec-79,55,1974-1981 | V. Giscard d'Estaing,67,1,Presidents
Jan-80,54,1974-1981 | V. Giscard d'Estaing,68,1,Presidents
Feb-80,58,1974-1981 | V. Giscard d'Estaing,69,1,Presidents
Mar-80,59,1974-1981 | V. Giscard d'Estaing,70,1,Presidents
Apr-80,56,1974-1981 | V. Giscard d'Estaing,71,1,Presidents
May-80,51,1974-1981 | V. Giscard d'Estaing,72,1,Presidents
Jun-80,53,1974-1981 | V. Giscard d'Estaing,73,1,Presidents
Jul-80,51,1974-1981 | V. Giscard d'Estaing,74,1,Presidents
Aug-80,52,1974-1981 | V. Giscard d'Estaing,75,1,Presidents
Sep-80,54,1974-1981 | V. Giscard d'Estaing,76,1,Presidents
Oct-80,51,1974-1981 | V. Giscard d'Estaing,77,1,Presidents
Nov-80,50,1974-1981 | V. Giscard d'Estaing,78,1,Presidents
Dec-80,53,1974-1981 | V. Giscard d'Estaing,79,1,Presidents
Jan-81,47,1974-1981 | V. Giscard d'Estaing,80,1,Presidents
Feb-81,44,1974-1981 | V. Giscard d'Estaing,81,1,Presidents
Mar-81,41,1974-1981 | V. Giscard d'Estaing,82,1,Presidents
Apr-81,44,1974-1981 | V. Giscard d'Estaing,83,1,Presidents
May-81,44,1974-1981 | V. Giscard d'Estaing,84,1,Presidents
Jun-81,74,1981-1988 | F. Mitterrand ,0,2,Presidents
Jul-81,71,1981-1988 | F. Mitterrand ,1,2,Presidents
Aug-81,66,1981-1988 | F. Mitterrand ,2,2,Presidents
Sep-81,62,1981-1988 | F. Mitterrand ,3,2,Presidents
Oct-81,64,1981-1988 | F. Mitterrand ,4,2,Presidents
Nov-81,60,1981-1988 | F. Mitterrand ,5,2,Presidents
Dec-81,57,1981-1988 | F. Mitterrand ,6,2,Presidents
Jan-82,59,1981-1988 | F. Mitterrand ,7,2,Presidents
Feb-82,58,1981-1988 | F. Mitterrand ,8,2,Presidents
Mar-82,58,1981-1988 | F. Mitterrand ,9,2,Presidents
Apr-82,56,1981-1988 | F. Mitterrand ,10,2,Presidents
May-82,58,1981-1988 | F. Mitterrand ,11,2,Presidents
Jun-82,63,1981-1988 | F. Mitterrand ,12,2,Presidents
Jul-82,57,1981-1988 | F. Mitterrand ,13,2,Presidents
Aug-82,55,1981-1988 | F. Mitterrand ,14,2,Presidents
Sep-82,54,1981-1988 | F. Mitterrand ,15,2,Presidents
Oct-82,51,1981-1988 | F. Mitterrand ,16,2,Presidents
