Date,Trust Rating,Type,Person_1,Person_2,Wing
Jun-17,49,PM's,2017- ,E.  Philippe,It's complicated
Jul-17,47,PM's,2017- ,E.  Philippe,It's complicated
Aug-17,43,PM's,2017- ,E.  Philippe,It's complicated
Sep-17,39,PM's,2017- ,E.  Philippe,It's complicated
Oct-17,37,PM's,2017- ,E.  Philippe,It's complicated
Nov-17,36,PM's,2017- ,E.  Philippe,It's complicated
Dec-17,40,PM's,2017- ,E.  Philippe,It's complicated
Jan-18,42,PM's,2017- ,E.  Philippe,It's complicated
Feb-18,42,PM's,2017- ,E.  Philippe,It's complicated
Mar-18,40,PM's,2017- ,E.  Philippe,It's complicated
Apr-18,38,PM's,2017- ,E.  Philippe,It's complicated
May-18,39,PM's,2017- ,E.  Philippe,It's complicated
Jun-18,38,PM's,2017- ,E.  Philippe,It's complicated
Jul-18,32,PM's,2017- ,E.  Philippe,It's complicated
Aug-18,32,PM's,2017- ,E.  Philippe,It's complicated
Sep-18,32,PM's,2017- ,E.  Philippe,It's complicated
Oct-18,31,PM's,2017- ,E.  Philippe,It's complicated
Nov-18,31,PM's,2017- ,E.  Philippe,It's complicated
Dec-18,22,PM's,2017- ,E.  Philippe,It's complicated
Jan-17,32,PM's,2017-2017 ,B. Cazeneuve,Left-wing
Feb-17,29,PM's,2017-2017 ,B. Cazeneuve,Left-wing
Mar-17,29,PM's,2017-2017 ,B. Cazeneuve,Left-wing
Apr-17,32,PM's,2017-2017 ,B. Cazeneuve,Left-wing
May-17,29,PM's,2017-2017 ,B. Cazeneuve,Left-wing
Apr-14,46,PM's,2014-2016 ,M. Valls,Left-wing
May-14,45,PM's,2014-2016 ,M. Valls,Left-wing
Jun-14,42,PM's,2014-2016 ,M. Valls,Left-wing
Jul-14,44,PM's,2014-2016 ,M. Valls,Left-wing
Aug-14,37,PM's,2014-2016 ,M. Valls,Left-wing
Sep-14,30,PM's,2014-2016 ,M. Valls,Left-wing
Oct-14,32,PM's,2014-2016 ,M. Valls,Left-wing
Nov-14,30,PM's,2014-2016 ,M. Valls,Left-wing
Dec-14,34,PM's,2014-2016 ,M. Valls,Left-wing
Jan-15,41,PM's,2014-2016 ,M. Valls,Left-wing
Feb-15,48,PM's,2014-2016 ,M. Valls,Left-wing
Mar-15,42,PM's,2014-2016 ,M. Valls,Left-wing
Apr-15,32,PM's,2014-2016 ,M. Valls,Left-wing
May-15,35,PM's,2014-2016 ,M. Valls,Left-wing
Jun-15,40,PM's,2014-2016 ,M. Valls,Left-wing
Jul-15,36,PM's,2014-2016 ,M. Valls,Left-wing
Aug-15,36.5,PM's,2014-2016 ,M. Valls,Left-wing
Sep-15,37,PM's,2014-2016 ,M. Valls,Left-wing
Oct-15,33,PM's,2014-2016 ,M. Valls,Left-wing
Nov-15,32,PM's,2014-2016 ,M. Valls,Left-wing
